#alt_asm_name	prim_asm_name	alt_scaf_name	alt_scaf_acc	parent_type	parent_name	parent_acc	region_name	ori	alt_scaf_start	alt_scaf_stop	parent_start	parent_stop	alt_start_tail	alt_stop_tail
PATCHES	Primary Assembly	HG1342_HG2282_PATCH	KQ031383.1	CHROMOSOME	1	CM000663.2	PRAME_REGION_1	+	1	467143	12818488	13312803	0	0
PATCHES	Primary Assembly	HSCHR1_5_CTG3	KQ983255.1	CHROMOSOME	1	CM000663.2	PRAME_REGION_1	+	1	278659	13004385	13312803	0	0
PATCHES	Primary Assembly	HG2095_PATCH	KN538361.1	CHROMOSOME	1	CM000663.2	REGION200	+	1	305542	17157487	17460319	0	0
PATCHES	Primary Assembly	HSCHR1_4_CTG3	KQ458383.1	CHROMOSOME	1	CM000663.2	REGION228	+	1	349938	23237486	23579959	0	0
PATCHES	Primary Assembly	HG2058_PATCH	KN196473.1	CHROMOSOME	1	CM000663.2	REGION189	b	1	166200	26512383	26678582	0	0
PATCHES	Primary Assembly	HG986_PATCH	KN196472.1	CHROMOSOME	1	CM000663.2	FOXO6	+	1	186494	41250328	41436604	0	0
PATCHES	Primary Assembly	HSCHR1_3_CTG3	KQ458382.1	CHROMOSOME	1	CM000663.2	REGION229	+	1	141019	103909381	104045121	0	0
PATCHES	Primary Assembly	HG2104_PATCH	KN196474.1	CHROMOSOME	1	CM000663.2	REGION190	+	1	122022	112909422	113029606	0	0
PATCHES	Primary Assembly	HG1832_PATCH	KN538360.1	CHROMOSOME	1	CM000663.2	REGION199	+	1	460100	210220259	210677001	0	0
PATCHES	Primary Assembly	HSCHR1_5_CTG32_1	KQ458384.1	CHROMOSOME	1	CM000663.2	TBCE	+	1	212205	235360200	235568613	0	0
PATCHES	Primary Assembly	HG2290_PATCH	KQ031384.1	CHROMOSOME	2	CM000664.2	IGK	+	1	439505	88891175	89330679	0	41740
PATCHES	Primary Assembly	HSCHR2_6_CTG7_2	KQ983256.1	CHROMOSOME	2	CM000664.2	REGION233	+	1	535088	205890983	206421450	0	0
PATCHES	Primary Assembly	HG2232_PATCH	KN538363.1	CHROMOSOME	2	CM000664.2	REGION201	+	1	365499	233054663	233420161	0	0
PATCHES	Primary Assembly	HG2233_PATCH	KN538362.1	CHROMOSOME	2	CM000664.2	REGION202	+	1	208149	239696904	239905046	0	0
PATCHES	Primary Assembly	HG2236_PATCH	KV766192.1	CHROMOSOME	3	CM000665.2	REGION235	+	1	411654	16687511	17099186	0	0
PATCHES	Primary Assembly	HG2066_PATCH	KN196475.1	CHROMOSOME	3	CM000665.2	REGION192	b	1	451168	44474647	44925818	0	0
PATCHES	Primary Assembly	HG2235_PATCH	KQ031385.1	CHROMOSOME	3	CM000665.2	SLC25A26	+	1	373699	66023201	66396803	0	0
PATCHES	Primary Assembly	HG126_PATCH	KN538364.1	CHROMOSOME	3	CM000665.2	RYBP	+	1	415308	72325441	72740399	0	0
PATCHES	Primary Assembly	HG2237_PATCH	KQ031386.1	CHROMOSOME	3	CM000665.2	REGION210	+	1	165718	90528825	90699772	0	0
PATCHES	Primary Assembly	HG2022_PATCH	KN196476.1	CHROMOSOME	3	CM000665.2	REGION191	+	1	305979	91247723	91553319	0	0
PATCHES	Primary Assembly	HSCHR4_2_CTG4	KQ090013.1	CHROMOSOME	4	CM000666.2	REGION222	+	1	90922	14931450	15019028	0	0
PATCHES	Primary Assembly	HSCHR4_8_CTG12	KQ090014.1	CHROMOSOME	4	CM000666.2	REGION223	+	1	163749	65880454	66040277	0	0
PATCHES	Primary Assembly	HSCHR4_9_CTG12	KQ090015.1	CHROMOSOME	4	CM000666.2	REGION224	+	1	236512	69959865	70191926	0	0
PATCHES	Primary Assembly	HSCHR4_12_CTG12	KV766193.1	CHROMOSOME	4	CM000666.2	REGION236	+	1	420675	154079465	154493046	0	0
PATCHES	Primary Assembly	HG2023_PATCH	KQ983257.1	CHROMOSOME	4	CM000666.2	REGION134	+	1	230434	189907071	190204555	0	0
PATCHES	Primary Assembly	HSCHR4_11_CTG12	KQ983258.1	CHROMOSOME	4	CM000666.2	REGION134	+	1	185950	189907071	190093263	0	19457
PATCHES	Primary Assembly	HSCHR5_7_CTG1	KN196477.1	CHROMOSOME	5	CM000667.2	REGION193	+	1	139087	21098347	21230960	0	0
PATCHES	Primary Assembly	HSCHR5_8_CTG1	KV575243.1	CHROMOSOME	5	CM000667.2	GUSBP1	+	130579	362221	21481419	21713081	130578	0
PATCHES	Primary Assembly	HG30_PATCH	KV575244.1	CHROMOSOME	5	CM000667.2	REGION234	b	1	673059	179235294	179907499	0	0
PATCHES	Primary Assembly	HSCHR6_1_CTG10	KQ090017.1	CHROMOSOME	6	CM000668.2	REGION225	+	1	82315	13101650	13179113	0	0
PATCHES	Primary Assembly	HG1651_PATCH	KQ031387.1	CHROMOSOME	6	CM000668.2	REGION211	+	1	320750	61123605	61470683	0	0
PATCHES	Primary Assembly	HG2128_PATCH	KN196478.1	CHROMOSOME	6	CM000668.2	REGION194	+	1	268330	67533466	67796090	0	0
PATCHES	Primary Assembly	HG2072_PATCH	KQ090016.1	CHROMOSOME	6	CM000668.2	REGION214	+	1	245716	82140389	82375901	0	0
PATCHES	Primary Assembly	HG2121_PATCH	KV766194.1	CHROMOSOME	6	CM000668.2	CASP8AP2	+	1	139427	89804656	89941739	0	0
PATCHES	Primary Assembly	HG2239_PATCH	KQ031388.1	CHROMOSOME	7	CM000669.2	REGION212	+	1	179932	154422352	154602937	0	0
PATCHES	Primary Assembly	HSCHR9_1_CTG6	KQ090018.1	CHROMOSOME	9	CM000671.2	REGION226	+	1	163882	8983671	9142737	0	0
PATCHES	Primary Assembly	HSCHR9_1_CTG7	KQ090019.1	CHROMOSOME	9	CM000671.2	REGION227	+	1	134099	24949709	25079413	0	0
PATCHES	Primary Assembly	HG2030_PATCH	KN196479.1	CHROMOSOME	9	CM000671.2	ABO	+	1	330164	133174055	133504070	0	0
PATCHES	Primary Assembly	HG2244_HG2245_PATCH	KN538367.1	CHROMOSOME	10	CM000672.2	REGION205	+	1	420164	38918270	39338430	0	0
PATCHES	Primary Assembly	HSCHR10_1_CTG6	KQ090020.1	CHROMOSOME	10	CM000672.2	REGION216	+	1	185507	65503225	65684914	0	0
PATCHES	Primary Assembly	HG2191_PATCH	KN196480.1	CHROMOSOME	10	CM000672.2	REGION195	+	1	277797	74797382	75073121	0	0
PATCHES	Primary Assembly	HG2334_PATCH	KQ090021.1	CHROMOSOME	10	CM000672.2	PTEN	+	1	264545	87784179	88048756	0	0
PATCHES	Primary Assembly	HG2242_HG2243_PATCH	KN538366.1	CHROMOSOME	10	CM000672.2	REGION204	+	1	85284	124109957	124195365	0	0
PATCHES	Primary Assembly	HG2241_PATCH	KN538365.1	CHROMOSOME	10	CM000672.2	REGION203	+	1	14347	131588434	131607480	0	0
PATCHES	Primary Assembly	HG107_PATCH	KQ759759.1	CHROMOSOME	11	CM000673.2	MUCIN_REGION_1	+	1	196940	1012544	1207515	0	0
PATCHES	Primary Assembly	HSCHR11_1_CTG1_2	KN538368.1	CHROMOSOME	11	CM000673.2	OLFACTORY_REGION_2	+	1	203552	7779133	7972558	0	0
PATCHES	Primary Assembly	HG1708_PATCH	KV766195.1	CHROMOSOME	11	CM000673.2	OLFACTORY_REGION_4	+	1	140877	49958373	50099251	0	0
PATCHES	Primary Assembly	HG2116_PATCH	KQ090022.1	CHROMOSOME	11	CM000673.2	REGION215	+	1	181958	92232311	92410192	0	0
PATCHES	Primary Assembly	HG2217_PATCH	KN196481.1	CHROMOSOME	11	CM000673.2	SLC37A4	+	1	108875	118978401	119087276	0	0
PATCHES	Primary Assembly	HSCHR12_2_CTG1	KQ090023.1	CHROMOSOME	12	CM000674.2	REGION217	+	1	109323	1033530	1135924	0	0
PATCHES	Primary Assembly	HG1362_PATCH	KN538369.1	CHROMOSOME	12	CM000674.2	REGION206	b	1	541038	12031003	12572035	0	0
PATCHES	Primary Assembly	HG23_PATCH	KN196482.1	CHROMOSOME	12	CM000674.2	REGION196	b	1	211377	17717409	17928910	0	0
